gene	chr	tx_start	tx_end	strand
A1BG	19	58858174	58864865	-
A1CF	10	52566327	52645435	-
A2BP1	16	6069132	7763340	+
A2LD1	13	101183811	101185997	-
A2M	12	9220304	9268558	-
A2ML1	12	8975150	9029375	+
A4GALT	22	43088128	43116876	-
A4GNT	3	137842560	137851229	-
AAAS	12	53701241	53715412	-
AACS	12	125549925	125627872	+
AADAC	3	151531861	151546277	+
AADACL2	3	151451704	151475554	+
AADACL3	1	12776118	12788726	+
AADACL4	1	12704566	12727096	+
AADAT	4	170981374	171011372	-
AAGAB	15	67493369	67547074	-
AAK1	2	69685127	69870977	-
AAMP	2	219128853	219134893	-
AANAT	17	74449433	74466198	+
AARS	16	70286297	70323412	-
AARS2	6	44266463	44281063	-
AARSD1	17	41102545	41132545	-
AASDH	4	57204459	57253638	-
AASDHPPT	11	105948292	105969419	+
AASS	7	121713600	121784344	-
AATF	17	35306175	35414170	+
AATK	17	79091100	79139872	-
ABAT	16	8768444	8878431	+
ABCA1	9	107543285	107690436	-
ABCA10	17	67144148	67240956	-
ABCA12	2	215796267	216003151	-
ABCA13	7	48211057	48687091	+
ABCA2	9	139901686	139923374	-
ABCA3	16	2325879	2390747	-
ABCA4	1	94458396	94586705	-
ABCA5	17	67240576	67323323	-
ABCA6	17	67074847	67138015	-
ABCA7	19	1040102	1065568	+
ABCA8	17	66863433	66951533	-
ABCA9	17	66970774	67057136	-
ABCB1	7	87132948	87342564	-
ABCB10	1	229652330	229694442	-
ABCB11	2	169779449	169887833	-
ABCB4	7	87031361	87105019	-
ABCB5	7	20655245	20796636	+
ABCB6	2	220074494	220083672	-
ABCB7	23	74273107	74376132	-
ABCB8	7	150725510	150744867	+
ABCB9	12	123413540	123459752	-
ABCC1	16	16043434	16236928	+
ABCC10	6	43399489	43418163	+
ABCC11	16	48200822	48269088	-
ABCC12	16	48116884	48180681	-
ABCC2	10	101542463	101611662	+
ABCC3	17	48712218	48769062	+
ABCC4	13	95672084	95953687	-
ABCC5	3	183637726	183735727	-
ABCC6	16	16243423	16317328	-
ABCC8	11	17414433	17498449	-
ABCC9	12	21950326	22089628	-
ABCD1	23	152990323	153010216	+
ABCD2	12	39945022	40013843	-
ABCD3	1	94883933	94984218	+
ABCD4	14	74751980	74769767	-
ABCE1	4	146019156	146050675	+
ABCF1	6	30539170	30559307	+
ABCF2	7	150904923	150924317	-
ABCF3	3	183903863	183911795	+
ABCG1	21	43619799	43717352	+
ABCG2	4	89011417	89080011	-
ABCG4	11	119019750	119033372	+
ABCG5	2	44039612	44065958	-
ABCG8	2	44066103	44105604	+
ABHD1	2	27346657	27353678	+
ABHD10	3	111697828	111712208	+
ABHD11	7	73150427	73153190	-
ABHD12	20	25275380	25371477	-
ABHD12B	14	51338878	51371687	+
ABHD13	13	108870763	108886602	+
ABHD14A	3	52009042	52015215	+
ABHD14B	3	52002527	52008646	-
ABHD15	17	27887691	27894042	-
ABHD2	15	89631381	89745591	+
ABHD3	18	19230858	19284766	-
ABHD4	14	23067147	23081257	+
ABHD5	3	43732375	43764216	+
ABHD6	3	58223259	58280459	+
ABHD8	19	17402941	17414282	-
ABI1	10	27035527	27150016	-
ABI2	2	204193003	204296891	+
ABI3	17	47287589	47300587	+
ABI3BP	3	100468181	100712334	-
ABL1	9	133589268	133763060	+
ABL2	1	179068463	179198819	-
ABLIM1	10	116190870	116444414	-
ABLIM2	4	7967038	8160559	-
ABLIM3	5	148521054	148639999	+
ABO	9	136130563	136150630	-
ABP1	7	150549573	150558379	+
ABR	17	906760	1090616	-
ABRA	8	107771712	107782472	-
ABT1	6	26597180	26600275	+
ABTB1	3	127391781	127399768	+
ABTB2	11	34172535	34378802	-
ACAA1	3	38164202	38178733	-
ACAA2	18	47309875	47340251	-
ACACA	17	35441928	35766902	-
ACACB	12	109577202	109706028	+
ACAD10	12	112123857	112194910	+
ACAD11	3	132276984	132378975	-
ACAD8	11	134123434	134135744	+
ACAD9	3	128598333	128631956	+
ACADL	2	211052718	211090215	-
ACADM	1	76190043	76229353	+
ACADS	12	121163571	121177810	+
ACADSB	10	124768429	124817805	+
ACADVL	17	7123153	7128584	+
ACAN	15	89346674	89418585	+
ACAP1	17	7239848	7254793	+
ACAP2	3	194995466	195163817	-
ACAP3	1	1227764	1243269	-
ACAT1	11	107992258	108018889	+
ACAT2	6	160182989	160200085	+
ACBD3	1	226332382	226374423	-
ACBD4	17	43209967	43221541	+
ACBD5	10	27484144	27531068	-
ACBD6	1	180257353	180472022	-
ACBD7	10	15117475	15130775	-
ACCN1	17	31340108	32483825	-
ACCN2	12	50451487	50477393	+
ACCN3	7	150745605	150749843	+
ACCN4	2	220378892	220403488	+
ACCN5	4	156750881	156787425	-
ACCS	11	44087729	44105569	+
ACCSL	11	44069531	44081527	+
ACD	16	67691416	67694718	-
ACE	17	61554434	61575739	+
ACE2	23	15579156	15620192	-
ACER1	19	6306510	6333640	-
ACER2	9	19408925	19452500	+
ACER3	11	76571917	76734850	+
ACHE	7	100487616	100493541	-
ACIN1	14	23527776	23564823	-
ACLY	17	40023181	40075272	-
ACMSD	2	135596186	135659600	+
ACN9	7	96745905	96811073	+
ACO1	9	32384601	32450830	+
ACO2	22	41865129	41924992	+
ACOT1	14	74003928	74010498	+
ACOT11	1	55013901	55100417	+
ACOT12	5	80625948	80689988	-
ACOT13	6	24667263	24705293	+
ACOT2	14	74035772	74042357	+
ACOT4	14	74058410	74062468	+
ACOT6	14	74083548	74086590	+
ACOT7	1	6324333	6453826	-
ACOT8	20	44470361	44486035	-
ACOT9	23	23721778	23761407	-
ACOX1	17	73937589	73975515	-
ACOX2	3	58490864	58522929	-
ACOX3	4	8368010	8442452	-
ACOXL	2	111490150	111875799	+
ACP1	2	264869	278280	+
ACP2	11	47260854	47270457	-
ACP5	19	11685477	11689801	-
ACP6	1	147119168	147142634	-
ACPL2	3	140950682	141013485	+
ACPP	3	132036211	132087144	+
ACPT	19	51293672	51298481	+
ACR	22	51176652	51183726	+
ACRBP	12	6747242	6756580	-
ACRC	23	70797874	70833433	+
ACRV1	11	125542230	125550942	-
ACSBG1	15	78463189	78526899	-
ACSBG2	19	6135710	6193112	+
ACSF2	17	48503519	48552200	+
ACSF3	16	89160254	89222169	+
ACSL1	4	185676749	185747215	-
ACSL3	2	223725732	223808118	+
ACSL4	23	108884564	108976621	-
ACSL5	10	114133916	114188137	+
ACSL6	5	131289152	131347349	-
ACSM1	16	20634559	20702578	-
ACSM2A	16	20462859	20498989	+
ACSM2B	16	20548084	20587695	-
ACSM3	16	20775312	20808478	+
ACSM4	12	7456928	7480969	+
ACSM5	16	20420856	20452278	+
ACSS1	20	24986874	25039616	-
ACSS2	20	33464328	33515769	+
ACSS3	12	81471809	81649582	+
ACTA1	1	229566995	229569843	-
ACTA2	10	90694832	90751147	-
ACTB	7	5566783	5570232	-
ACTBL2	5	56775844	56778636	-
ACTC1	15	35080297	35087927	-
ACTG1	17	79476999	79479827	-
ACTG2	2	74120093	74146779	+
ACTL6A	3	179280708	179306188	+
ACTL6B	7	100240728	100254084	-
ACTL7A	9	111624603	111626035	+
ACTL7B	9	111616871	111618275	-
ACTL8	1	18081808	18153556	+
ACTL9	19	8807751	8809172	-
ACTN1	14	69340841	69446083	-
ACTN2	1	236849770	236927558	+
ACTN3	11	66314391	66330797	+
ACTN4	19	39138327	39221170	+
ACTR10	14	58666833	58702351	+
ACTR1A	10	104238987	104262512	-
ACTR1B	2	98272402	98280561	-
ACTR2	2	65454829	65498385	+
ACTR3	2	114647537	114716167	+
ACTR3B	7	152456851	152552463	+
ACTR3C	7	149944302	150020758	-
ACTR5	20	37377097	37401089	+
ACTR6	12	100594574	100618201	+
ACTR8	3	53901096	53916229	-
ACTRT1	23	127184943	127186382	-
ACTRT2	1	2938046	2939465	+
ACVR1	2	158592958	158732374	-
ACVR1B	12	52345451	52390863	+
ACVR1C	2	158383280	158485399	-
ACVR2A	2	148602570	148688392	+
ACVR2B	3	38495790	38534631	+
ACVRL1	12	52301202	52317144	+
ACY1	3	52017563	52023217	+
ACY3	11	67410027	67418130	-
ACYP1	14	75519930	75530736	-
ACYP2	2	54342410	54532433	+
ADA	20	43248164	43280376	-
ADAD1	4	123300121	123350946	+
ADAD2	16	84224723	84230772	+
ADAL	15	43622872	43646094	+
ADAM10	15	58888510	59042177	-
ADAM11	17	42836568	42859212	+
ADAM12	10	127702902	128077127	-
ADAM15	1	155023762	155035252	+
ADAM17	2	9629413	9695917	-
ADAM18	8	39442142	39587485	+
ADAM19	5	156904313	157002768	-
ADAM2	8	39601256	39695779	-
ADAM20	14	70989079	71001732	-
ADAM21	14	70924217	70926621	+
ADAM22	7	87563702	87826447	+
ADAM23	2	207308368	207482677	+
ADAM28	8	24151580	24212725	+
ADAM29	4	175839509	175899330	+
ADAM30	1	120436157	120439113	-
ADAM32	8	38965050	39142435	+
ADAM33	20	3648621	3662738	-
ADAM7	8	24298509	24366273	+
ADAM8	10	135075921	135090407	-
ADAM9	8	38854505	38962777	+
ADAMDEC1	8	24241798	24263526	+
ADAMTS1	21	28208608	28217728	-
ADAMTS10	19	8645126	8675588	-
ADAMTS12	5	33527287	33892124	-
ADAMTS13	9	136287120	136324507	+
ADAMTS14	10	72432559	72522193	+
ADAMTS15	11	130318869	130346539	+
ADAMTS16	5	5140443	5320411	+
ADAMTS17	15	100511643	100882183	-
ADAMTS18	16	77316026	77469011	-
ADAMTS19	5	128796103	129074376	+
ADAMTS2	5	178540851	178772329	-
ADAMTS20	12	43748013	43945724	-
ADAMTS3	4	73146687	73434516	-
ADAMTS4	1	161159539	161168845	-
ADAMTS5	21	28290232	28339439	-
ADAMTS6	5	64444564	64777704	-
ADAMTS7	15	79051546	79103773	-
ADAMTS8	11	130274820	130298539	-
ADAMTS9	3	64501333	64673365	-
ADAMTSL1	9	18474104	18910945	+
ADAMTSL2	9	136397286	136440640	+
ADAMTSL3	15	84322838	84708591	+
ADAMTSL4	1	150521898	150533410	+
ADAMTSL5	19	1505017	1513188	-
ADAP1	7	937538	994289	-
ADAP2	17	29248754	29286209	+
ADAR	1	154554536	154600437	-
ADARB1	21	46494493	46646478	+
ADARB2	10	1228074	1779718	-
ADAT1	16	75632998	75657154	-
ADAT2	6	143743970	143771841	-
ADAT3	19	1905417	1913443	+
ADC	1	33546714	33585994	+
ADCK1	14	78266426	78400296	+
ADCK2	7	140372953	140394908	+
ADCK4	19	41197434	41222790	-
ADCK5	8	145597731	145618451	+
ADCY1	7	45614125	45762712	+
ADCY10	1	167778625	167883453	-
ADCY2	5	7396343	7830194	+
ADCY3	2	25042041	25142055	-
ADCY4	14	24787571	24803864	-
ADCY5	3	123003399	123167392	-
ADCY6	12	49159976	49182820	-
ADCY7	16	50321823	50352043	+
ADCY8	8	131792548	132052835	-
ADCY9	16	4012653	4166186	-
ADCYAP1	18	904944	912171	+
ADCYAP1R1	7	31092142	31146311	+
ADD1	4	2845584	2931787	+
ADD2	2	70889216	70995375	-
ADD3	10	111765726	111895320	+
ADH1A	4	100197524	100212142	-
ADH1B	4	100227528	100242572	-
ADH1C	4	100257651	100273917	-
ADH4	4	100044835	100065449	-
ADH5	4	99992132	100009931	-
ADH6	4	100123795	100140403	-
ADH7	4	100333419	100356667	-
ADHFE1	8	67344718	67381042	+
ADI1	2	3501691	3523350	-
ADIG	20	37209838	37217104	+
ADIPOQ	3	186560463	186576250	+
ADIPOR1	1	202909963	202927700	-
ADIPOR2	12	1800247	1897844	+
ADK	10	75910965	76469059	+
ADM	11	10326642	10328923	+
ADM2	22	50920012	50924864	+
ADNP	20	49506883	49547527	-
ADNP2	18	77866915	77898226	+
ADO	10	64564516	64568238	+
ADORA1	1	203096836	203136533	+
ADORA2A	22	24823530	24838324	+
ADORA2B	17	15848231	15879210	+
ADORA3	1	112025971	112106597	-
ADPGK	15	73043710	73076126	-
ADPRH	3	119298523	119308791	+
ADPRHL1	13	114076260	114107839	-
ADPRHL2	1	36554453	36559532	+
ADRA1A	8	26605667	26722922	-
ADRA1B	5	159343740	159400017	+
ADRA1D	20	4201278	4229659	-
ADRA2A	10	112836790	112840660	+
ADRA2B	2	96778626	96781888	-
ADRA2C	4	3768296	3770251	+
ADRB1	10	115803806	115806665	+
ADRB2	5	148206156	148208196	+
ADRB3	8	37820516	37824184	-
ADRBK1	11	67033905	67054029	+
ADRBK2	22	25960861	26125256	+
ADRM1	20	60878027	60883916	+
ADSL	22	40742504	40762573	+
ADSS	1	244571797	244615413	-
ADSSL1	14	105190534	105213645	+
AEBP1	7	44143960	44154158	+
AEBP2	12	19592608	19675173	+
AEN	15	89164527	89175512	+
AES	19	3052908	3062964	-
AFAP1	4	7760440	7941653	-
AFAP1L1	5	148651401	148721365	+
AFAP1L2	10	116054584	116164515	-
AFF1	4	87856154	88062205	+
AFF2	23	147582139	148082192	+
AFF3	2	100163718	100759037	-
AFF4	5	132211072	132299354	-
AFG3L2	18	12329108	12377194	-
AFM	4	74347462	74369717	+
AFMID	17	76183437	76203782	+
AFP	4	74301933	74321492	+
AFTPH	2	64751465	64820131	+
AG2	11	43964106	43965432	+
AGA	4	178351931	178363657	-
AGAP1	2	236402736	237034114	+
AGAP11	10	88730498	88769960	+
AGAP2	12	58118995	58135940	-
AGAP3	7	150783826	150841523	+
AGAP4	10	46321051	46342921	-
AGAP5	10	75434034	75457554	-
AGAP6	10	51748078	51770258	+
AGAP7	10	51464164	51486327	-
AGAP8	10	51224690	51246535	-
AGBL1	15	86685242	87572283	+
AGBL2	11	47681145	47736302	-
AGBL3	7	134671259	134820526	+
AGBL4	1	48998527	50489626	-
AGBL5	2	27274491	27293489	+
AGER	6	32148746	32152023	-
AGFG1	2	228336888	228425938	+
AGFG2	7	100136834	100165842	+
AGGF1	5	76326232	76361035	+
AGK	7	141251078	141354209	+
AGL	1	100315640	100389579	+
AGMAT	1	15899152	15911605	-
AGPAT1	6	32135990	32145842	-
AGPAT2	9	139567595	139581911	-
AGPAT3	21	45285116	45407474	+
AGPAT4	6	161551057	161695107	-
AGPAT5	8	6565878	6619019	+
AGPAT6	8	41435707	41482520	+
AGPAT9	4	84457653	84527025	+
AGPHD1	15	78799906	78829714	+
AGPS	2	178257471	178408564	+
AGR2	7	16832266	16844738	-
AGR3	7	16899031	16921613	-
AGRN	1	955503	991492	+
AGRP	16	67516474	67517716	-
AGT	1	230838274	230850336	-
AGTPBP1	9	88161455	88356944	-
AGTR1	3	148415658	148460788	+
AGTR2	23	115301958	115306223	+
AGTRAP	1	11796142	11810827	+
AGXT	2	241808162	241818535	+
AGXT2	5	34998206	35048240	-
AGXT2L1	4	109663204	109684235	-
AGXT2L2	5	177635541	177659803	-
AHCTF1	1	247002402	247094726	-
AHCY	20	32868073	32899608	-
AHCYL1	1	110527308	110566363	+
AHCYL2	7	128864855	129070051	+
AHDC1	1	27860794	27930143	-
AHI1	6	135605112	135818903	-
AHNAK	11	62201016	62314332	-
AHNAK2	14	105403591	105444694	-
AHR	7	17338276	17385775	+
AHRR	5	304291	438403	+
AHSA1	14	77924373	77935807	+
AHSA2	2	61404555	61414685	+
AHSG	3	186330850	186339105	+
AHSP	16	31539203	31540123	+
AICDA	12	8754762	8765442	-
AIDA	1	222841357	222885864	-
AIF1	6	31582994	31584796	+
AIF1L	9	133971863	133998539	+
AIFM1	23	129263340	129299861	-
AIFM2	10	71872030	71892690	-
AIFM3	22	21319418	21335649	+
AIG1	6	143382023	143661439	+
AIM1	6	106959730	107018332	+
AIM1L	1	26648350	26670443	-
AIM2	1	159032275	159046647	-
AIMP1	4	107236767	107270379	+
AIMP2	7	6048882	6063464	+
AIP	11	67250505	67258578	+
AIPL1	17	6327060	6338519	-
AIRE	21	45705763	45718110	+
AJAP1	1	4715105	4843850	+
AK1	9	130628761	130640022	-
AK2	1	33473586	33502492	-
AK3	9	4711158	4741227	-
AK3L1	1	65613232	65693173	+
AK5	1	77747742	78025652	+
AK7	14	96858448	96955112	+
AKAP1	17	55162553	55198709	+
AKAP10	17	19808752	19881129	-
AKAP11	13	42846289	42897402	+
AKAP12	6	151561134	151679692	+
AKAP13	15	85923871	86292586	+
AKAP14	23	119029936	119054677	+
AKAP2	9	112810976	112934789	+
AKAP3	12	4724677	4754343	-
AKAP4	23	49955411	49965664	-
AKAP5	14	64932217	64941220	+
AKAP6	14	32798479	33302267	+
AKAP7	6	131466461	131604673	+
AKAP8	19	15464341	15490603	-
AKAP8L	19	15490859	15529833	-
AKAP9	7	91570189	91739986	+
AKD1	6	109814059	110012415	-
AKIRIN1	1	39456916	39471735	+
AKIRIN2	6	88384579	88411985	-
AKNA	9	117096433	117156685	-
AKNAD1	1	109358532	109399716	-
AKR1A1	1	46016498	46035720	+
AKR1B1	7	134127107	134143888	-
AKR1B10	7	134212344	134226165	+
AKR1B15	7	134233849	134264590	+
AKR1C1	10	5005454	5020157	+
AKR1C2	10	5031966	5060207	-
AKR1C3	10	5136568	5149876	+
AKR1C4	10	5238798	5260910	+
AKR1D1	7	137761196	137803050	+
AKR1E2	10	4868402	4890249	+
AKR7A2	1	19630459	19638640	-
AKR7A3	1	19609057	19615280	-
AKR7L	1	19592476	19600568	-
AKT1	14	105235689	105262080	-
AKT1S1	19	50372299	50380644	-
AKT2	19	40736225	40791265	-
AKT3	1	243651535	244006553	-
AKTIP	16	53525193	53537170	-
ALAD	9	116148593	116163618	-
ALAS1	3	52232116	52248343	+
ALAS2	23	55035489	55057497	-
ALB	4	74269972	74287127	+
ALCAM	3	105085713	105295743	+
ALDH16A1	19	49956473	49974304	+
ALDH18A1	10	97365687	97416567	-
ALDH1A1	9	75515588	75567969	-
ALDH1A2	15	58245628	58357906	-
ALDH1A3	15	101420009	101456828	+
ALDH1B1	9	38392702	38398655	+
ALDH1L1	3	125822408	125899485	-
ALDH1L2	12	105413564	105478341	-
ALDH2	12	112204346	112247782	+
ALDH3A1	17	19641300	19651746	-
ALDH3A2	17	19552064	19580908	+
ALDH3B1	11	67776048	67796741	+
ALDH3B2	11	67429634	67448685	-
ALDH4A1	1	19197926	19229293	-
ALDH5A1	6	24495197	24537434	+
ALDH6A1	14	74526874	74551196	-
ALDH7A1	5	125878918	125931082	-
ALDH8A1	6	135238529	135271244	-
ALDH9A1	1	165631449	165667900	-
ALDOA	16	30064491	30081734	+
ALDOB	9	104182842	104198062	-
ALDOC	17	26900134	26903951	-
ALG1	16	5121810	5137378	+
ALG10	12	34175216	34181234	+
ALG10B	12	38710557	38723527	+
ALG11	13	52586550	52603778	+
ALG12	22	50296856	50312106	-
ALG13	23	110924346	111003873	+
ALG14	1	95448279	95538507	-
ALG1L	3	125648118	125655882	-
ALG1L2	3	129800674	129817232	+
ALG2	9	101978708	101984246	-
ALG3	3	183960117	183967313	-
ALG5	13	37523910	37573504	-
ALG6	1	63833261	63904232	+
ALG8	11	77811988	77850699	-
ALG9	11	111652920	111742305	-
ALK	2	29415641	30144432	-
ALKBH1	14	78138749	78174356	-
ALKBH2	12	109525993	109531293	-
ALKBH3	11	43902357	43941825	+
ALKBH4	7	102096697	102105288	-
ALKBH5	17	18086867	18113265	+
ALKBH6	19	36500022	36505141	-
ALKBH7	19	6372444	6375040	+
ALKBH8	11	107373454	107436461	-
ALLC	2	3705786	3750258	+
ALMS1	2	73612886	73837046	+
ALOX12	17	6899384	6914054	+
ALOX12B	17	7975954	7991021	-
ALOX15	17	4534221	4544960	-
ALOX15B	17	7942358	7952442	+
ALOX5	10	45869629	45941561	+
ALOX5AP	13	31309669	31338556	+
ALOXE3	17	7999219	8022234	-
ALPI	2	233320833	233324740	+
ALPK1	4	113218499	113363761	+
ALPK2	18	56148484	56296189	-
ALPK3	15	85359911	85416711	+
ALPL	1	21835858	21904904	+
ALPP	2	233243348	233247597	+
ALPPL2	2	233271552	233275422	+
ALS2	2	202564987	202645895	-
ALS2CL	3	46710679	46735171	-
ALS2CR11	2	202352147	202483905	-
ALS2CR12	2	202153148	202222101	-
ALS2CR4	2	202484907	202508224	-
ALS2CR8	2	203776978	203851060	+
ALX1	12	85674036	85695559	+
ALX3	1	110602998	110613322	-
ALX4	11	44282278	44331716	-
AMAC1	17	33519539	33521412	-
AMAC1L2	8	11188495	11189695	+
AMAC1L3	17	7384721	7386383	+
AMACR	5	33987093	34008220	-
AMBN	4	71458001	71473002	+
AMBP	9	116822410	116840752	-
AMBRA1	11	46417964	46612914	-
AMD1	6	111195987	111216913	+
AMDHD1	12	96337071	96362369	+
AMDHD2	16	2570363	2580954	+
AMELX	23	11311533	11318880	+
AMELY	24	6733960	6742068	-
AMFR	16	56395365	56459444	-
AMH	19	2249113	2252072	+
AMHR2	12	53817639	53825318	+
AMICA1	11	118064442	118095809	-
AMIGO1	1	110049447	110052336	-
AMIGO2	12	47469491	47473734	-
AMIGO3	3	49754268	49757238	-
AMMECR1	23	109437415	109683461	-
AMMECR1L	2	128619209	128642434	-
AMN	14	103388993	103397178	+
AMN1	12	31824073	31882108	-
AMOT	23	112018106	112084043	-
AMOTL1	11	94501508	94609917	+
AMOTL2	3	134074190	134093406	-
AMPD1	1	115215722	115238239	-
AMPD2	1	110162459	110174677	+
AMPD3	11	10471868	10529126	+
AMPH	7	38423307	38671020	-
AMT	3	49454212	49460111	-
AMTN	4	71384298	71398459	+
AMY1A	1	104198141	104301310	+/-
AMY1B	1	104198325	104301310	+/-
AMY1C	1	104198303	104301310	+/-
AMY2A	1	104159999	104168393	+
AMY2B	1	104097322	104122147	+
AMZ1	7	2719163	2755069	+
AMZ2	17	66244145	66253305	+
ANAPC1	2	112526641	112641741	-
ANAPC10	4	145916314	146019368	-
ANAPC11	17	79849599	79858363	+
ANAPC13	3	134196547	134204863	-
ANAPC16	10	73975806	73995616	+
ANAPC2	9	140069236	140083057	-
ANAPC4	4	25378848	25420119	+
ANAPC5	12	121746050	121792012	-
ANAPC7	12	110810705	110841535	-
ANG	14	21152336	21162343	+
ANGEL1	14	77253588	77279283	-
ANGEL2	1	213165525	213189168	-
ANGPT1	8	108261711	108510254	-
ANGPT2	8	6357177	6420784	-
